id,code,accounting_id,name,initial_balance,final_balance,debit_movement,credit_movement,third_party_type_id,third_party_id,year,month
88,2.4,24,"24 Impuestos, Gravámenes Y Tasas",0.0,332500.0,0.0,332500.0,Contact,145,2024,2
89,4.1,41, Ordinarios,0.0,3000000.0,0.0,3000000.0,Contact,1,2024,2
90,4.1,41, Ordinarios,0.0,50000.0,0.0,50000.0,Contact,13,2024,2
91,4.1,41, Ordinarios,0.0,126000.0,0.0,126000.0,Contact,34,2024,2
92,4.1,41, Ordinarios,0.0,5502001.0,0.0,5502001.0,Contact,42,2024,2
93,4.1,41, Ordinarios,0.0,520000.0,0.0,520000.0,Contact,80,2024,2
94,4.1,41, Ordinarios,0.0,466501.19,0.0,466501.19,Contact,138,2024,2
95,4.1,41, Ordinarios,0.0,5515500.0,0.0,5515500.0,Contact,142,2024,2
96,4.1,41, Ordinarios,0.0,6863600.0,0.0,6863600.0,Contact,145,2024,2
97,6.1,61,Costo De Ventas Y Prestación De Servicios,0.0,20000.0,20000.0,0.0,Contact,1,2024,2
98,6.1,61,Costo De Ventas Y Prestación De Servicios,0.0,55769.230769,55769.230769,0.0,Contact,13,2024,2
99,6.1,61,Costo De Ventas Y Prestación De Servicios,0.0,122122.0,122122.0,0.0,Contact,34,2024,2
100,6.1,61,Costo De Ventas Y Prestación De Servicios,0.0,5352002.0,5352002.0,0.0,Contact,42,2024,2
101,6.1,61,Costo De Ventas Y Prestación De Servicios,0.0,520000.0,520000.0,0.0,Contact,80,2024,2
102,6.1,61,Costo De Ventas Y Prestación De Servicios,0.0,737621.0,737621.0,0.0,Contact,138,2024,2
103,6.1,61,Costo De Ventas Y Prestación De Servicios,0.0,5312502.0,5312502.0,0.0,Contact,142,2024,2
104,6.1,61,Costo De Ventas Y Prestación De Servicios,0.0,5310001.0,5310001.0,0.0,Contact,145,2024,2
105,1.101,1101,Caja,0.0,3525000.0,3525000.0,0.0,Contact,1,2024,2
106,1.101,1101,Caja,0.0,59500.0,59500.0,0.0,Contact,13,2024,2
107,1.101,1101,Caja,0.0,4972500.0,4972500.0,0.0,Contact,142,2024,2
108,1.301,1301,Clientes,0.0,-3570000.0,0.0,3570000.0,Contact,1,2024,2
109,1.301,1301,Clientes,0.0,3570000.0,3570000.0,0.0,Contact,1,2024,2
110,1.301,1301,Clientes,0.0,-59500.0,0.0,59500.0,Contact,13,2024,2
111,1.301,1301,Clientes,0.0,59500.0,59500.0,0.0,Contact,13,2024,2
112,1.301,1301,Clientes,0.0,149940.0,149940.0,0.0,Contact,34,2024,2
